user_id,book_id,rating,timestamp,completion_percentage,listening_duration_minutes,review_text
1,101,4.5,2024-03-15 10:30:00,100,480,"Excellent story and narration!"
1,102,3.8,2024-03-14 15:45:00,85,360,"Good mystery, kept me engaged"
2,101,5.0,2024-03-13 09:20:00,100,495,"One of the best books I've listened to"
2,103,4.2,2024-03-12 14:15:00,95,420,"Very informative and well-researched"
3,104,4.7,2024-03-11 11:00:00,100,390,"Amazing fantasy world building"
3,105,3.5,2024-03-10 16:30:00,75,280,"Useful business insights"
4,102,4.0,2024-03-09 13:45:00,90,350,"Intriguing plot twists"
4,103,4.8,2024-03-08 10:20:00,100,450,"Fascinating scientific concepts"
5,104,4.3,2024-03-07 15:10:00,100,385,"Enchanting magical story"
5,105,4.1,2024-03-06 12:25:00,88,320,"Practical business advice" 